 Total solar irradiance (W/m2)
 -----------------------------
    year   365-day mean
  1977.133  1360.7555
  1977.136  1360.7566
  1977.138  1360.7577
  1977.141  1360.7584
  1977.144  1360.7588
  1977.146  1360.7590
  1977.149  1360.7594
  1977.152  1360.7598
  1977.155  1360.7605
  1977.157  1360.7610
  1977.168  1360.7617
  1977.171  1360.7629
  1977.173  1360.7642
  1977.176  1360.7651
  1977.179  1360.7659
  1977.181  1360.7671
  1977.184  1360.7679
  1977.187  1360.7684
  1977.189  1360.7692
  1977.192  1360.7700
  1977.195  1360.7704
  1977.198  1360.7708
  1977.200  1360.7705
  1977.203  1360.7689
  1977.206  1360.7665
  1977.208  1360.7646
  1977.211  1360.7632
  1977.214  1360.7616
  1977.216  1360.7600
  1977.219  1360.7589
  1977.222  1360.7578
  1977.224  1360.7566
  1977.227  1360.7562
  1977.230  1360.7565
  1977.232  1360.7570
  1977.235  1360.7579
  1977.238  1360.7585
  1977.240  1360.7594
  1977.243  1360.7600
  1977.246  1360.7606
  1977.249  1360.7607
  1977.251  1360.7615
  1977.254  1360.7615
  1977.257  1360.7618
  1977.259  1360.7625
  1977.262  1360.7626
  1977.265  1360.7627
  1977.267  1360.7627
  1977.270  1360.7628
  1977.273  1360.7628
  1977.276  1360.7628
  1977.278  1360.7628
  1977.281  1360.7628
  1977.284  1360.7626
  1977.286  1360.7622
  1977.289  1360.7622
  1977.292  1360.7625
  1977.294  1360.7627
  1977.297  1360.7632
  1977.300  1360.7639
  1977.302  1360.7639
  1977.305  1360.7642
  1977.308  1360.7642
  1977.310  1360.7645
  1977.313  1360.7657
  1977.316  1360.7675
  1977.318  1360.7689
  1977.321  1360.7706
  1977.324  1360.7720
  1977.327  1360.7731
  1977.329  1360.7742
  1977.335  1360.7759
  1977.337  1360.7760
  1977.340  1360.7761
  1977.343  1360.7764
  1977.345  1360.7764
  1977.348  1360.7764
  1977.351  1360.7764
  1977.354  1360.7764
  1977.356  1360.7764
  1977.359  1360.7764
  1977.362  1360.7764
  1977.364  1360.7764
  1977.367  1360.7764
  1977.370  1360.7764
  1977.372  1360.7764
  1977.375  1360.7764
  1977.378  1360.7764
  1977.380  1360.7764
  1977.383  1360.7764
  1977.386  1360.7765
  1977.388  1360.7766
  1977.391  1360.7767
  1977.394  1360.7771
  1977.396  1360.7789
  1977.399  1360.7806
  1977.402  1360.7823
  1977.405  1360.7843
  1977.407  1360.7864
  1977.410  1360.7885
  1977.413  1360.7889
  1977.415  1360.7905
  1977.418  1360.7915
  1977.421  1360.7925
  1977.423  1360.7933
  1977.426  1360.7938
  1977.429  1360.7946
  1977.431  1360.7949
  1977.434  1360.7955
  1977.437  1360.7960
  1977.439  1360.7966
  1977.442  1360.7963
  1977.445  1360.7963
