Global mean surface temperature (C)
relative to 1951-1980 mean
-----------------------------------
 year    monthly_mean
1903.958   -0.4553
1904.042   -0.6228
1904.125   -0.5267
1904.208   -0.4438
1904.292   -0.4804
1904.375   -0.4940
1904.458   -0.4816
1904.542   -0.4745
1904.625   -0.4252
1904.708   -0.4609
1904.792   -0.3432
1904.875   -0.1591
1904.958   -0.2880
1905.042   -0.3730
1905.125   -0.5784
1905.208   -0.2430
1905.292   -0.3675
1905.375   -0.3313
1905.458   -0.3080
1905.542   -0.2388
1905.625   -0.1931
1905.708   -0.1395
1905.792   -0.2342
1905.875   -0.0851
1905.958   -0.2062
1906.042   -0.3045
1906.125   -0.3198
1906.208   -0.1471
1906.292   -0.0283
1906.375   -0.2057
1906.458   -0.2108
1906.542   -0.2525
1906.625   -0.1758
1906.708   -0.2458
1906.792   -0.1962
1906.875   -0.3798
1906.958   -0.1788
1907.042   -0.4340
1907.125   -0.5101
1907.208   -0.2315
1907.292   -0.3903
1907.375   -0.4534
1907.458   -0.4276
1907.542   -0.3543
1907.625   -0.3614
1907.708   -0.3193
1907.792   -0.2358
1907.875   -0.5051
1907.958   -0.4980
1908.042   -0.4515
1908.125   -0.3494
1908.208   -0.5690
1908.292   -0.4544
1908.375   -0.3975
1908.458   -0.3861
1908.542   -0.3474
1908.625   -0.4479
1908.708   -0.3277
1908.792   -0.4286
1908.875   -0.5019
1908.958   -0.4939
1909.042   -0.6971
1909.125   -0.4632
1909.208   -0.5134
1909.292   -0.5817
1909.375   -0.5320
1909.458   -0.5119
1909.542   -0.4226
1909.625   -0.2916
1909.708   -0.3647
1909.792   -0.3813
1909.875   -0.3148
1909.958   -0.5398
1910.042   -0.4294
1910.125   -0.4241
1910.208   -0.4780
1910.292   -0.3791
1910.375   -0.3339
1910.458   -0.3617
1910.542   -0.3101
1910.625   -0.3343
1910.708   -0.3555
1910.792   -0.3754
1910.875   -0.5492
1910.958   -0.6808
1911.042   -0.6247
1911.125   -0.5882
1911.208   -0.6055
1911.292   -0.5418
1911.375   -0.5024
1911.458   -0.4516
1911.542   -0.3953
1911.625   -0.4154
1911.708   -0.3671
1911.792   -0.2432
1911.875   -0.1834
1911.958   -0.2354
1912.042   -0.2581
1912.125   -0.1323
1912.208   -0.3649
1912.292   -0.1904
1912.375   -0.1857
1912.458   -0.2482
1912.542   -0.4056
1912.625   -0.5117
1912.708   -0.4680
1912.792   -0.5488
1912.875   -0.3678
1912.958   -0.4225
1913.042   -0.4142
1913.125   -0.4289
1913.208   -0.4269
1913.292   -0.3607
1913.375   -0.4488
1913.458   -0.4577
1913.542   -0.3440
1913.625   -0.3343
1913.708   -0.3324
1913.792   -0.3393
1913.875   -0.1742
1913.958   -0.0298
1914.042    0.0239
1914.125   -0.1235
1914.208   -0.2170
1914.292   -0.2714
1914.375   -0.1973
1914.458   -0.2311
1914.542   -0.2388
1914.625   -0.1373
1914.708   -0.1255
1914.792   -0.0487
1914.875   -0.2029
1914.958   -0.0886
1915.042   -0.1826
1915.125    0.0037
1915.208   -0.1024
1915.292    0.0793
1915.375   -0.0102
1915.458   -0.1463
1915.542   -0.0234
1915.625   -0.1478
1915.708   -0.1221
1915.792   -0.2213
1915.875   -0.1228
1915.958   -0.2389
1916.042   -0.1741
1916.125   -0.2076
1916.208   -0.3069
1916.292   -0.2373
1916.375   -0.2584
1916.458   -0.4317
1916.542   -0.3366
1916.625   -0.2573
1916.708   -0.2794
1916.792   -0.2679
1916.875   -0.3970
1916.958   -0.7660
1917.042   -0.4555
1917.125   -0.5263
1917.208   -0.4667
1917.292   -0.3717
1917.375   -0.4765
1917.458   -0.3960
1917.542   -0.2221
1917.625   -0.2513
1917.708   -0.1723
1917.792   -0.3444
1917.875   -0.2606
1917.958   -0.7094
1918.042   -0.4152
1918.125   -0.2963
1918.208   -0.1809
1918.292   -0.3808
1918.375   -0.3601
1918.458   -0.2697
1918.542   -0.1938
1918.625   -0.2447
1918.708   -0.1266
1918.792   -0.0236
1918.875   -0.1496
1918.958   -0.2861
1919.042   -0.1992
1919.125   -0.1948
1919.208   -0.2373
1919.292   -0.1599
1919.375   -0.1918
1919.458   -0.2638
1919.542   -0.1948
1919.625   -0.1834
1919.708   -0.1600
1919.792   -0.1424
1919.875   -0.2861
1919.958   -0.3433
1920.042   -0.1448
1920.125   -0.2200
1920.208   -0.0648
1920.292   -0.2467
1920.375   -0.2386
1920.458   -0.3123
1920.542   -0.3027
1920.625   -0.2749
1920.708   -0.1825
1920.792   -0.2758
1920.875   -0.3169
1920.958   -0.4583
1921.042   -0.0276
1921.125   -0.1947
1921.208   -0.2630
1921.292   -0.3508
1921.375   -0.3428
1921.458   -0.2982
1921.542   -0.1432
1921.625   -0.2232
1921.708   -0.1544
1921.792   -0.0496
1921.875   -0.1496
1921.958   -0.1732
1922.042   -0.3361
1922.125   -0.4155
1922.208   -0.1130
1922.292   -0.2007
1922.375   -0.3269
1922.458   -0.3165
1922.542   -0.2483
1922.625   -0.2881
1922.708   -0.2691
1922.792   -0.3162
1922.875   -0.1542
1922.958   -0.1594
1923.042   -0.2526
1923.125   -0.3520
1923.208   -0.3080
1923.292   -0.3584
