Surface temperature (C)                                 
Doubled CO2
GISS modelE-R used in "Ice Melt" paper
--------------------------------------
Years    Land   Ocean
  241  2.7017  1.5286
  242  2.6897  1.5103
  243  2.7837  1.4881
  244  2.7157  1.5083
  245  2.7797  1.5024
  246  2.7567  1.5008
  247  2.7197  1.4677
  248  2.7137  1.4552
  249  2.6547  1.4678
  250  2.5667  1.4734
  251  2.7087  1.4918
  252  2.7537  1.5019
  253  2.6387  1.4754
  254  2.7767  1.5074
  255  2.8567  1.5128
  256  2.8977  1.5235
  257  2.7457  1.4706
  258  2.7587  1.5034
  259  2.4047  1.5063
  260  2.7927  1.5319
  261  2.8037  1.5303
  262  2.6527  1.4989
  263  2.5557  1.4885
  264  2.9877  1.5313
  265  2.9177  1.5260
  266  2.5067  1.4795
  267  2.3857  1.4688
  268  2.6737  1.5105
  269  2.8187  1.5122
  270  2.6287  1.5092
  271  2.4867  1.5138
  272  2.8307  1.5052
  273  2.8547  1.5529
  274  2.7717  1.5283
  275  2.5727  1.5037
  276  2.6117  1.5161
  277  2.7477  1.5190
  278  2.7967  1.5631
  279  2.8947  1.5599
  280  2.8157  1.5269
  281  2.5857  1.5138
  282  2.6897  1.5136
  283  2.8147  1.4930
  284  2.8037  1.4743
  285  2.6697  1.4684
  286  2.7307  1.5234
  287  2.6217  1.4956
  288  2.7517  1.5123
  289  2.7947  1.5637
  290  2.8787  1.5496
  291  2.7357  1.5022
  292  2.6947  1.5392
  293  2.8157  1.5590
  294  2.8427  1.5713
  295  2.7877  1.5950
  296  2.7237  1.5608
  297  2.6877  1.5443
  298  2.6937  1.5534
  299  2.6057  1.5131
  300  2.7847  1.5431
  301  2.7097  1.5381
  302  2.7797  1.5595
  303  2.6787  1.5306
  304  2.8847  1.5445
  305  2.9787  1.5432
  306  2.9507  1.5617
  307  2.8617  1.5399
  308  2.8207  1.5759
  309  2.6377  1.5842
  310  2.7927  1.5922
  311  2.9757  1.5796
  312  2.7047  1.5875
  313  2.7097  1.6302
  314  2.8357  1.6663
  315  2.9437  1.6637
  316  2.9907  1.6158
  317  2.6967  1.5774
  318  2.8037  1.6077
  319  2.8157  1.5898
  320  3.0457  1.5856
  321  2.7597  1.5387
  322  2.8677  1.5476
  323  2.8127  1.5790
  324  2.8857  1.6056
  325  2.7437  1.5876
  326  2.9537  1.5805
  327  2.7977  1.6110
  328  2.8267  1.6219
  329  2.7057  1.6095
  330  2.7707  1.5918
  331  3.0367  1.6179
  332  3.0377  1.5923
  333  2.8877  1.5802
  334  2.8117  1.5656
  335  2.8267  1.5675
  336  2.7177  1.5494
  337  2.8397  1.5971
  338  2.8637  1.5848
  339  2.6337  1.5845
  340  2.8907  1.6316
  341  2.9747  1.6362
  342  2.9197  1.6125
  343  2.7587  1.5935
  344  2.8787  1.5839
  345  2.7247  1.5634
  346  2.9597  1.6316
  347  2.9467  1.6436
  348  2.9157  1.5724
  349  2.9717  1.5949
  350  2.5597  1.5343
  351  2.7417  1.6057
  352  2.8057  1.6232
  353  2.8007  1.6061
  354  2.9967  1.6165
  355  2.9277  1.6330
  356  2.9237  1.6124
  357  2.8267  1.6179
  358  2.9147  1.6639
  359  2.8987  1.6317
  360  3.1057  1.6030
  361  2.8887  1.5529
  362  2.6887  1.5402
  363  2.6707  1.5725
  364  2.7667  1.6083
  365  2.8687  1.5641
  366  2.9167  1.5462
  367  2.7817  1.5536
  368  2.8417  1.5683
  369  2.8357  1.5767
  370  2.8467  1.5983
  371  2.8297  1.5935
  372  2.9597  1.5922
  373  2.7337  1.5778
  374  2.8577  1.6021
  375  2.9407  1.5897
  376  2.8797  1.6295
  377  2.7157  1.6432
  378  3.0077  1.6635
  379  2.8697  1.6110
  380  2.8117  1.5960
  381  3.0287  1.5830
  382  2.7987  1.6281
  383  2.8117  1.6453
  384  2.8987  1.6330
  385  2.8047  1.6289
  386  2.8437  1.6136
  387  2.8177  1.6204
  388  2.9027  1.6607
  389  2.9027  1.6409
  390  3.1277  1.6490
  391  2.9977  1.6631
  392  2.9977  1.6463
  393  3.0257  1.6498
  394  2.9457  1.6703
  395  2.8677  1.6958
  396  2.9137  1.6593
  397  2.8097  1.6520
  398  3.0157  1.7073
  399  3.0577  1.6845
  400  2.9587  1.6830
  401  3.0357  1.6909
  402  3.0507  1.6814
  403  2.9737  1.6502
  404  2.9407  1.6735
  405  3.0167  1.6754
  406  2.9387  1.6457
  407  2.8807  1.6694
  408  2.9347  1.6614
  409  3.1227  1.6623
  410  2.8367  1.6407
  411  2.9567  1.6595
  412  3.0817  1.7306
  413  3.0007  1.7217
  414  3.0197  1.7165
  415  3.0457  1.7525
  416  2.8807  1.7074
  417  2.8577  1.6886
  418  2.8537  1.6927
  419  3.2007  1.7090
  420  3.0137  1.7365
  421  2.9717  1.6946
  422  3.0917  1.6927
  423  2.8917  1.7222
  424  3.0657  1.7206
  425  3.0797  1.7115
  426  3.0017  1.7147
  427  3.0837  1.7084
  428  2.9767  1.7071
  429  2.8387  1.6636
  430  2.8547  1.6865
  431  3.0067  1.6892
  432  2.9277  1.7191
  433  3.0427  1.7112
  434  3.0207  1.6961
  435  2.8127  1.6926
  436  2.9877  1.6994
  437  2.9447  1.6740
  438  2.8447  1.6599
  439  2.9807  1.6853
  440  3.0677  1.7062
  441  3.1137  1.6737
  442  2.7527  1.6583
  443  2.8777  1.6754
  444  3.0167  1.6621
  445  3.0807  1.6906
  446  2.9407  1.6653
  447  3.1517  1.6224
  448  2.7207  1.6205
  449  2.7867  1.5986
  450  2.9007  1.6389
  451  2.9287  1.6639
  452  2.9647  1.6629
  453  2.9147  1.6590
  454  2.8667  1.6756
  455  2.8767  1.6979
  456  3.0557  1.7102
  457  2.9047  1.7136
  458  3.0327  1.7318
  459  3.1467  1.6984
  460  2.8477  1.7129
  461  3.0397  1.6999
  462  3.0367  1.7098
  463  2.9557  1.7283
  464  3.0767  1.7274
  465  3.0027  1.7385
  466  3.0997  1.7261
  467  3.1227  1.7101
  468  3.0607  1.6886
  469  3.0307  1.6593
  470  3.1117  1.7206
  471  3.1637  1.7400
  472  2.9147  1.7080
  473  3.1437  1.7324
  474  3.0857  1.7245
  475  3.0457  1.7479
  476  3.0427  1.7290
  477  2.8467  1.7432
  478  3.0897  1.7534
  479  2.8907  1.7221
  480  3.1027  1.7223
  481  2.8007  1.7023
  482  2.8587  1.7133
  483  3.0417  1.7385
  484  3.1867  1.8097
  485  3.2717  1.7871
  486  3.1017  1.7640
  487  3.0477  1.7836
  488  3.0857  1.8002
  489  3.3387  1.8094
  490  2.9957  1.7811
  491  3.0407  1.7535
  492  3.3137  1.7722
  493  3.1867  1.7677
  494  2.9747  1.7280
  495  3.0877  1.7038
  496  3.0997  1.7239
  497  3.1377  1.7201
  498  2.9997  1.7079
  499  3.1717  1.7185
  500  3.2377  1.7227
  501  3.1247  1.6776
  502  2.8587  1.6326
  503  3.0827  1.6483
  504  2.8727  1.6472
  505  2.9407  1.6980
  506  3.0457  1.7162
  507  2.9537  1.6963
  508  3.0487  1.6774
  509  2.9407  1.6834
  510  3.0867  1.7060
  511  2.8797  1.6856
  512  2.9457  1.6666
  513  2.9867  1.6390
  514  2.9477  1.6349
  515  2.8827  1.6317
  516  3.0907  1.6596
  517  2.8207  1.6385
  518  2.8547  1.6171
  519  2.7457  1.6709
  520  2.7687  1.6550
  521  2.8877  1.6407
  522  2.9287  1.6292
  523  2.8307  1.6468
  524  2.9547  1.6768
  525  3.0147  1.6920
  526  3.0097  1.6907
  527  2.9917  1.7451
  528  3.0367  1.7711
  529  2.9037  1.7614
  530  2.8147  1.7730
  531  3.1747  1.7986
  532  3.2677  1.7884
  533  3.2107  1.7817
  534  2.9427  1.7960
  535  3.0747  1.7527
  536  3.0197  1.7325
  537  3.0807  1.7840
  538  3.0787  1.7499
  539  3.0297  1.7488
  540  3.0307  1.7297
  541  2.9817  1.7393
  542  3.0777  1.7648
  543  2.8527  1.7037
  544  3.0037  1.7589
  545  3.2647  1.7744
  546  3.2507  1.7647
  547  3.1037  1.7589
  548  3.2987  1.7155
  549  3.0557  1.7044
  550  3.1127  1.7356
  551  3.1457  1.7419
  552  2.9957  1.7138
  553  3.1587  1.7356
  554  3.0667  1.7037
  555  2.9367  1.7096
  556  3.1147  1.7267
  557  3.2997  1.7668
  558  3.1517  1.7701
  559  2.9717  1.7714
  560  3.0537  1.7611
  561  3.0117  1.7334
  562  3.1577  1.7232
  563  2.9247  1.7610
  564  2.9337  1.7712
  565  3.0717  1.7707
  566  3.0177  1.7447
  567  3.1207  1.7474
  568  3.0567  1.7666
  569  3.2907  1.7911
  570  3.1937  1.8122
  571  3.0767  1.7964
  572  3.1797  1.7978
  573  3.1927  1.7994
  574  3.1507  1.7710
  575  3.1307  1.7530
  576  3.0917  1.7822
  577  3.2137  1.8075
  578  3.2087  1.8049
  579  3.2187  1.7922
  580  3.1067  1.8079
  581  3.2237  1.7787
  582  3.2057  1.7325
  583  3.1167  1.7218
  584  3.0747  1.7541
  585  3.2097  1.8109
  586  3.2577  1.8211
  587  3.0407  1.7669
  588  3.2127  1.7821
  589  3.0957  1.7838
  590  3.2397  1.7788
  591  3.0227  1.8016
  592  3.3897  1.7933
  593  3.0897  1.7552
  594  2.9547  1.7441
  595  2.9037  1.7665
  596  3.2897  1.8378
  597  3.0717  1.7820
  598  3.1627  1.7591
  599  3.2607  1.7704
  600  2.9947  1.7698
  601  3.1747  1.7729
  602  3.1557  1.7749
  603  3.1907  1.7698
  604  3.0507  1.7465
  605  3.1527  1.7549
  606  3.1457  1.7307
  607  3.0607  1.7673
  608  3.1957  1.7949
  609  3.1167  1.7838
  610  3.2807  1.8232
  611  3.2237  1.8259
  612  3.2387  1.8314
  613  3.2027  1.8816
  614  3.3047  1.8759
  615  3.3607  1.8283
  616  3.2007  1.8227
  617  3.2337  1.8604
  618  3.4527  1.8829
  619  3.2327  1.9097
  620  3.1817  1.8886
  621  3.2567  1.8697
  622  3.2987  1.8999
  623  3.2967  1.8710
  624  3.3787  1.8471
  625  3.3287  1.8337
  626  3.0317  1.8138
  627  3.2807  1.8495
  628  3.1757  1.8576
  629  3.2337  1.8666
  630  3.3287  1.8471
  631  3.1307  1.8416
  632  2.9757  1.7953
  633  3.1457  1.8166
  634  3.1387  1.8113
  635  3.1057  1.7900
  636  3.3147  1.8034
  637  3.3587  1.7867
  638  2.9557  1.7571
  639  2.8997  1.7548
  640  3.1237  1.8147
  641  3.0767  1.8556
  642  3.1737  1.8474
  643  3.1667  1.8462
  644  3.1247  1.8568
  645  3.3747  1.8548
  646  3.1697  1.7680
  647  3.0817  1.7729
  648  3.0287  1.7893
  649  3.0427  1.8406
  650  3.3737  1.8679
  651  3.1927  1.8339
  652  3.0707  1.8258
  653  3.1367  1.8232
  654  3.2967  1.8264
  655  3.0417  1.8008
  656  3.1037  1.8430
  657  3.3147  1.8805
  658  3.1627  1.8230
  659  3.1407  1.7926
  660  3.1657  1.7564
  661  3.2297  1.8056
  662  3.3837  1.8510
  663  3.2717  1.8406
  664  3.2117  1.8582
  665  3.2427  1.8797
  666  3.2827  1.8568
  667  3.3187  1.8369
  668  3.0917  1.8490
  669  3.1147  1.8003
  670  3.0297  1.7760
  671  3.2277  1.8232
  672  3.1897  1.8232
  673  3.3147  1.8345
  674  3.3407  1.8354
  675  2.9687  1.7969
  676  3.2277  1.7723
  677  3.0967  1.8073
  678  3.3857  1.8201
  679  3.3027  1.8358
  680  3.1047  1.8250
  681  3.0287  1.8520
  682  3.1647  1.8252
  683  3.0327  1.7742
  684  3.1137  1.8161
  685  3.1587  1.8475
  686  3.1777  1.8531
  687  3.2197  1.8914
  688  3.4667  1.8898
  689  3.0237  1.8462
  690  3.1077  1.8619
  691  3.3547  1.8682
  692  3.1477  1.8999
  693  3.3057  1.8986
  694  3.3497  1.8910
  695  3.3227  1.9213
  696  3.4647  1.9168
  697  3.3477  1.8831
  698  3.2987  1.8686
  699  3.3477  1.8944
  700  3.2117  1.8950
  701  3.3387  1.8888
  702  3.1367  1.9196
  703  3.1367  1.8853
  704  3.2427  1.8919
  705  3.2607  1.8457
  706  3.2377  1.8598
  707  3.2817  1.8275
  708  3.2707  1.8836
  709  3.3477  1.8902
  710  3.3487  1.8707
  711  3.2917  1.8906
  712  3.1707  1.8577
  713  3.2187  1.8790
  714  3.3027  1.9180
  715  3.3027  1.8827
  716  3.4757  1.8428
  717  3.2267  1.8363
  718  3.2487  1.8503
  719  3.1377  1.8791
  720  3.2337  1.8324
  721  3.4557  1.8864
  722  3.2797  1.8461
  723  3.0347  1.8628
  724  3.2987  1.8921
  725  3.3647  1.8678
  726  3.1997  1.8552
  727  3.3507  1.8514
  728  3.2247  1.8464
  729  3.3167  1.8352
  730  3.3127  1.8444
  731  3.3187  1.7943
  732  3.1827  1.8246
  733  3.3627  1.8809
  734  3.2937  1.8810
  735  3.3877  1.8628
  736  3.3237  1.8651
  737  3.1967  1.8827
  738  3.2667  1.9004
  739  3.2327  1.9142
  740  3.3057  1.9192
  741  3.2317  1.9141
  742  3.3777  1.9067
  743  3.2287  1.8742
  744  3.2337  1.8778
  745  3.3437  1.9021
  746  3.2867  1.8975
  747  3.2337  1.8860
  748  3.3237  1.8770
  749  3.3617  1.8912
  750  3.3627  1.8970
  751  3.2147  1.8600
  752  3.1557  1.8197
  753  3.2667  1.8437
  754  3.3337  1.8357
  755  3.1327  1.8394
  756  3.0757  1.8334
  757  3.0827  1.8483
  758  3.0627  1.8702
  759  3.4237  1.9164
  760  3.3997  1.9153
  761  3.3237  1.9046
  762  3.3327  1.9276
  763  3.2947  1.9362
  764  3.2517  1.8870
  765  3.1737  1.8257
  766  3.2847  1.8648
