Net forcing without CO2 extraction
------------------------------------
year   +2%    const    -3%     -6%
------------------------------------
1956  0.4910  0.4910  0.4910  0.4910
1957  0.5935  0.5935  0.5935  0.5935
1958  0.5964  0.5964  0.5964  0.5964
1959  0.5616  0.5616  0.5616  0.5616
1960  0.4782  0.4782  0.4782  0.4782
1961  0.2938  0.2938  0.2938  0.2938
1962  0.2206  0.2206  0.2206  0.2206
1963 -0.5251 -0.5251 -0.5251 -0.5251
1964 -1.0996 -1.0996 -1.0996 -1.0996
1965 -0.4241 -0.4241 -0.4241 -0.4241
1966  0.0977  0.0977  0.0977  0.0977
1967  0.3398  0.3398  0.3398  0.3398
1968  0.0756  0.0756  0.0756  0.0756
1969 -0.0433 -0.0433 -0.0433 -0.0433
1970  0.3947  0.3947  0.3947  0.3947
1971  0.6008  0.6008  0.6008  0.6008
1972  0.6993  0.6993  0.6993  0.6993
1973  0.6205  0.6205  0.6205  0.6205
1974  0.5124  0.5124  0.5124  0.5124
1975  0.1332  0.1332  0.1332  0.1332
1976  0.5279  0.5279  0.5279  0.5279
1977  0.8023  0.8023  0.8023  0.8023
1978  0.8405  0.8405  0.8405  0.8405
1979  0.9092  0.9092  0.9092  0.9092
1980  1.0540  1.0540  1.0540  1.0540
1981  1.0920  1.0920  1.0920  1.0920
1982 -0.0488 -0.0488 -0.0488 -0.0488
1983 -0.5322 -0.5322 -0.5322 -0.5322
1984  0.4729  0.4729  0.4729  0.4729
1985  0.8845  0.8845  0.8845  0.8845
1986  0.9034  0.9034  0.9034  0.9034
1987  1.0396  1.0396  1.0396  1.0396
1988  1.2163  1.2163  1.2163  1.2163
1989  1.3827  1.3827  1.3827  1.3827
1990  1.3996  1.3996  1.3996  1.3996
1991  0.3242  0.3242  0.3242  0.3242
1992 -1.2392 -1.2392 -1.2392 -1.2392
1993  0.3642  0.3642  0.3642  0.3642
1994  1.0203  1.0203  1.0203  1.0203
1995  1.2842  1.2842  1.2842  1.2842
1996  1.3729  1.3729  1.3729  1.3729
1997  1.4422  1.4422  1.4422  1.4422
1998  1.6092  1.6092  1.6092  1.6092
1999  1.7124  1.7124  1.7124  1.7124
2000  1.7615  1.7615  1.7615  1.7615
2001  1.7671  1.7671  1.7671  1.7671
2002  1.8063  1.8063  1.8063  1.8063
2003  1.7353  1.7353  1.7353  1.7353
2004  1.7435  1.7435  1.7435  1.7435
2005  1.7158  1.7158  1.7158  1.7158
2006  1.7236  1.7236  1.7236  1.7236
2007  1.7220  1.7220  1.7220  1.7220
2008  1.7627  1.7627  1.7627  1.7627
2009  1.7679  1.7679  1.7679  1.7679
2010  1.8740  1.8740  1.8740  1.8740
2011  1.9184  1.9184  1.9184  1.9184
2012  2.0060  2.0060  2.0060  2.0060
2013  2.0530  2.0530  2.0530  2.0530
2014  2.0897  2.0897  2.0897  2.0897
2015  2.1340  2.1340  2.1340  2.1340
2016  2.0631  2.0618  2.0618  2.0618
2017  2.0620  2.0584  2.0584  2.0584
2018  2.0635  2.0566  2.0566  2.0566
2019  2.0635  2.0520  2.0520  2.0520
2020  2.0992  2.0821  2.0821  2.0821
2021  2.1891  2.1655  2.1637  2.1618
2022  2.2781  2.2470  2.2418  2.2366
2023  2.3689  2.3294  2.3193  2.3097
2024  2.3974  2.3486  2.3324  2.3171
2025  2.4302  2.3710  2.3475  2.3258
2026  2.4262  2.3557  2.3238  2.2949
2027  2.4241  2.3414  2.2999  2.2632
2028  2.4204  2.3245  2.2726  2.2274
2029  2.4188  2.3089  2.2456  2.1916
2030  1.4603  1.3353  1.2597  1.1965
2031  0.9026  0.7615  0.6730  0.6002
2032  1.6504  1.4924  1.3901  1.3076
2033  2.2055  2.0296  1.9127  1.8203
2034  2.4991  2.3045  2.1724  2.0699
2035  2.2415  2.0272  1.8793  1.7667
2036  2.1189  1.8839  1.7196  1.5968
2037  2.5331  2.2765  2.0952  1.9622
2038  2.8201  2.5409  2.3421  2.1990
2039  2.8268  2.5241  2.3073  2.1541
2040  2.8343  2.5073  2.2720  2.1086
2041  2.8456  2.4930  2.2389  2.0657
2042  2.8918  2.5128  2.2393  2.0563
2043  2.9960  2.5897  2.2965  2.1038
2044  3.1034  2.6687  2.3555  2.1532
2045  3.2114  2.7473  2.4137  2.2021
2046  3.2620  2.7677  2.4133  2.1925
2047  3.3115  2.7859  2.4105  2.1807
2048  3.3280  2.7700  2.3733  2.1346
2049  3.3472  2.7560  2.3376  2.0904
2050  3.3664  2.7410  2.3007  2.0451
2051  3.3870  2.7262  2.2638  2.0001
2052  3.4095  2.7124  2.2277  1.9560
2053  3.4658  2.7314  2.2241  1.9447
2054  3.5835  2.8107  2.2806  1.9937
2055  3.7003  2.8881  2.3351  2.0409
2056  3.8188  2.9661  2.3900  2.0887
2057  3.8811  2.9868  2.3875  2.0794
2058  3.9452  3.0083  2.3856  2.0709
2059  3.9725  2.9920  2.3458  2.0245
2060  2.8955  1.8703  1.2004  0.8731
2061  2.4033  1.3323  0.6386  0.3053
2062  3.4717  2.3538  1.6364  1.2973
2063  3.9080  2.7421  2.0006  1.6561
2064  3.9560  2.7411  1.9755  1.6257
2065  4.1590  2.8939  2.1042  1.7492
2066  4.3526  3.0362  2.2223  1.8624
2067  4.5161  3.1472  2.3090  1.9444
2068  4.6329  3.2105  2.3480  1.9789
2069  4.7076  3.2305  2.3436  1.9701
2070  4.7483  3.2153  2.3041  1.9265
2071  4.7847  3.1974  2.2615  1.8800
2072  4.8200  3.1793  2.2189  1.8337
2073  4.8564  3.1632  2.1783  1.7896
2074  4.8907  3.1460  2.1366  1.7443
2075  4.9570  3.1618  2.1278  1.7323
2076  5.0826  3.2378  2.1792  1.7806
2077  5.2087  3.3149  2.2317  1.8302
2078  5.3327  3.3907  2.2829  1.8787
2079  5.3975  3.4082  2.2758  1.8689
2080  5.4608  3.4246  2.2677  1.8583
2081  5.4861  3.4038  2.2223  1.8105
2082  5.5085  3.3807  2.1746  1.7607
2083  5.5304  3.3577  2.1270  1.7111
2084  5.5526  3.3358  2.0805  1.6625
2085  5.5732  3.3126  2.0328  1.6131
2086  5.6292  3.3253  2.0211  1.5997
2087  5.7429  3.3964  2.0677  1.6447
2088  5.8574  3.4686  2.1155  1.6911
2089  5.9688  3.5384  2.1608  1.7351
2090  4.8856  2.4139  1.0120  0.5850
2091  3.3877  0.8754 -0.5509 -0.9790
2092  5.0633  2.5103  1.0598  0.6306
2093  5.7456  3.1531  1.6782  1.2481
2094  5.9981  3.3658  1.8667  1.4358
2095  6.0834  3.4123  1.8891  1.4575
2096  6.1275  3.4173  1.8699  1.4376
2097  6.2299  3.4822  1.9108  1.4779
2098  6.3021  3.5152  1.9198  1.4864
2099  6.4066  3.5840  1.9646  1.5307
2100  6.5149  3.6524  2.0091  1.5749
2101  6.6220  3.7225  2.0735  1.6209
2102  6.6775  3.7414  2.0689  1.6158
2103  6.6834  3.7110  2.0152  1.5615
2104  6.7091  3.7007  1.9817  1.5274
2105  6.7050  3.6609  1.9189  1.4640
2106  6.7141  3.6346  1.8699  1.4143
2107  6.7210  3.6065  1.8190  1.3628
2108  6.7869  3.6377  1.8277  1.3708
2109  6.8777  3.6939  1.8615  1.4039
2110  7.0141  3.7962  1.9415  1.4831
2111  7.0930  3.8412  1.9645  1.5053
2112  7.1734  3.8879  1.9892  1.5293
2113  7.2095  3.8907  1.9702  1.5094
2114  7.2257  3.8739  1.9316  1.4699
2115  7.2416  3.8568  1.8929  1.4304
2116  7.2571  3.8397  1.8544  1.3911
2117  7.2724  3.8227  1.8161  1.3519
2118  7.2874  3.8056  1.7776  1.3125
2119  7.3371  3.8234  1.7744  1.3083
2120  7.4449  3.8995  1.8295  1.3625
2121  7.5526  3.9758  1.8849  1.4169
2122  7.6597  4.0517  1.9400  1.4711
2123  7.7084  4.0694  1.9370  1.4672
2124  7.7568  4.0871  1.9341  1.4632
2125  7.7701  4.0699  1.8963  1.4244
2126  7.7829  4.0524  1.8584  1.3856
2127  7.7955  4.0349  1.8207  1.3468
2128  7.8081  4.0175  1.7831  1.3082
2129  7.8202  3.9999  1.7454  1.2695
2130  6.9100  3.0602  0.7857  0.3087
2131  6.4233  2.5442  0.2498 -0.2283
2132  7.1840  3.2758  0.9615  0.4824
2133  7.7473  3.8102  1.4761  0.9959
2134  7.9942  4.0284  1.6747  1.1934
2135  7.7432  3.7488  1.3755  0.8931
2136  7.5931  3.5704  1.1774  0.6941
2137  8.0137  3.9627  1.5504  1.0659
2138  8.3048  4.2259  1.7943  1.3086
2139  8.3149  4.2081  1.7571  1.2705
2140  8.3247  4.1902  1.7201  1.2322
2141  8.3689  4.2073  1.7181  1.2291
2142  8.4724  4.2826  1.7744  1.2843
2143  8.5749  4.3582  1.8310  1.3397
2144  8.6771  4.4334  1.8873  1.3948
2145  8.7211  4.4504  1.8854  1.3918
2146  8.7641  4.4673  1.8836  1.3889
2147  8.7731  4.4494  1.8468  1.3510
2148  8.7811  4.4312  1.8101  1.3130
2149  8.7891  4.4130  1.7734  1.2752
2150  8.7971  4.3949  1.7368  1.2373
2151  8.8051  4.3767  1.7001  1.1995
2152  8.8481  4.3934  1.6985  1.1967
2153  8.9484  4.4685  1.7552  1.2523
2154  9.0489  4.5437  1.8122  1.3081
2155  9.1491  4.6186  1.8689  1.3636
2156  9.1911  4.6353  1.8674  1.3609
2157  9.2331  4.6519  1.8660  1.3583
2158  9.2391  4.6336  1.8296  1.3207
2159  9.2461  4.6151  1.7932  1.2831
2160  8.1440  3.4886  0.6487  0.1375
2161  7.6276  2.9477  0.0900 -0.4225
2162  8.6705  3.9661  1.0906  0.5769
2163  9.1145  4.3856  1.4924  0.9775
2164  9.1914  4.4389  1.5281  1.0119
2165  9.3652  4.5882  1.6596  1.1423
2166  9.5261  4.7254  1.7794  1.2608
2167  9.5998  4.7755  1.8119  1.2921
2168  9.6811  4.8332  1.8521  1.3310
2169  9.6861  4.8146  1.8161  1.2938
2170  9.6911  4.7958  1.7799  1.2564
2171  9.6951  4.7771  1.7438  1.2191
2172  9.6992  4.7584  1.7078  1.1818
2173  9.7041  4.7395  1.6718  1.1446
2174  9.7431  4.7557  1.6708  1.1424
2175  9.8404  4.8302  1.7282  1.1985
2176  9.9379  4.9049  1.7857  1.2548
2177 10.0340  4.9792  1.8430  1.3108
2178 10.0730  4.9953  1.8421  1.3087
2179 10.1110  5.0114  1.8412  1.3066
2180 10.1150  4.9925  1.8054  1.2694
2181 10.1180  4.9735  1.7695  1.2324
2182 10.1210  4.9545  1.7337  1.1953
2183 10.1240  4.9356  1.6980  1.1583
2184 10.1260  4.9164  1.6621  1.1212
2185 10.1640  4.9324  1.6614  1.1192
2186 10.2600  5.0066  1.7189  1.1755
2187 10.3560  5.0810  1.7767  1.2320
2188 10.4510  5.1551  1.8342  1.2883
2189 10.4880  5.1709  1.8335  1.2863
2190  9.3850  4.0466  0.6927  0.1443
2191  7.8409  2.4812 -0.8891 -1.4388
2192  9.5021  4.1213  0.7346  0.1836
2193 10.1720  4.7703  1.3671  0.8149
2194 10.4110  4.9883  1.5688  1.0153
2195 10.4850  5.0411  1.6053  1.0505
2196 10.5500  5.0863  1.6342  1.0781
2197 10.7000  5.2158  1.7475  1.1902
2198 10.7590  5.2544  1.7699  1.2113
2199 10.8530  5.3282  1.8276  1.2677
2200 10.8890  5.3438  1.8270  1.2659
------------------------------------
