Net forcing woth CO2 extraction         
-------------------------------------------
year   +2%    con450  con350   -3%     -6%
1938  0.3194  0.3194  0.3194  0.3194  0.3194
1939  0.3428  0.3428  0.3428  0.3428  0.3428
1940  0.3564  0.3564  0.3564  0.3564  0.3564
1941  0.3725  0.3725  0.3725  0.3725  0.3725
1942  0.2986  0.2986  0.2986  0.2986  0.2986
1943  0.2638  0.2638  0.2638  0.2638  0.2638
1944  0.3169  0.3169  0.3169  0.3169  0.3169
1945  0.3633  0.3633  0.3633  0.3633  0.3633
1946  0.3711  0.3711  0.3711  0.3711  0.3711
1947  0.4022  0.4022  0.4022  0.4022  0.4022
1948  0.4489  0.4489  0.4489  0.4489  0.4489
1949  0.4004  0.4004  0.4004  0.4004  0.4004
1950  0.3866  0.3866  0.3866  0.3866  0.3866
1951  0.3641  0.3641  0.3641  0.3641  0.3641
1952  0.3375  0.3375  0.3375  0.3375  0.3375
1953  0.3289  0.3289  0.3289  0.3289  0.3289
1954  0.3339  0.3339  0.3339  0.3339  0.3339
1955  0.4065  0.4065  0.4065  0.4065  0.4065
1956  0.4910  0.4910  0.4910  0.4910  0.4910
1957  0.5935  0.5935  0.5935  0.5935  0.5935
1958  0.5964  0.5964  0.5964  0.5964  0.5964
1959  0.5616  0.5616  0.5616  0.5616  0.5616
1960  0.4782  0.4782  0.4782  0.4782  0.4782
1961  0.2938  0.2938  0.2938  0.2938  0.2938
1962  0.2206  0.2206  0.2206  0.2206  0.2206
1963 -0.5251 -0.5251 -0.5251 -0.5251 -0.5251
1964 -1.0996 -1.0996 -1.0996 -1.0996 -1.0996
1965 -0.4241 -0.4241 -0.4241 -0.4241 -0.4241
1966  0.0977  0.0977  0.0977  0.0977  0.0977
1967  0.3398  0.3398  0.3398  0.3398  0.3398
1968  0.0756  0.0756  0.0756  0.0756  0.0756
1969 -0.0433 -0.0433 -0.0433 -0.0433 -0.0433
1970  0.3947  0.3947  0.3947  0.3947  0.3947
1971  0.6008  0.6008  0.6008  0.6008  0.6008
1972  0.6992  0.6992  0.6992  0.6992  0.6992
1973  0.6205  0.6205  0.6205  0.6205  0.6205
1974  0.5124  0.5124  0.5124  0.5124  0.5124
1975  0.1332  0.1332  0.1332  0.1332  0.1332
1976  0.5278  0.5278  0.5278  0.5278  0.5278
1977  0.8022  0.8022  0.8022  0.8022  0.8022
1978  0.8405  0.8405  0.8405  0.8405  0.8405
1979  0.9093  0.9093  0.9093  0.9093  0.9093
1980  1.0541  1.0541  1.0541  1.0541  1.0541
1981  1.0921  1.0921  1.0921  1.0921  1.0921
1982 -0.0489 -0.0489 -0.0489 -0.0489 -0.0489
1983 -0.5323 -0.5323 -0.5323 -0.5323 -0.5323
1984  0.4728  0.4728  0.4728  0.4728  0.4728
1985  0.8845  0.8845  0.8845  0.8845  0.8845
1986  0.9034  0.9034  0.9034  0.9034  0.9034
1987  1.0396  1.0396  1.0396  1.0396  1.0396
1988  1.2162  1.2162  1.2162  1.2162  1.2162
1989  1.3827  1.3827  1.3827  1.3827  1.3827
1990  1.3995  1.3995  1.3995  1.3995  1.3995
1991  0.3241  0.3241  0.3241  0.3241  0.3241
1992 -1.2392 -1.2392 -1.2392 -1.2392 -1.2392
1993  0.3643  0.3643  0.3643  0.3643  0.3643
1994  1.0203  1.0203  1.0203  1.0203  1.0203
1995  1.2842  1.2842  1.2842  1.2842  1.2842
1996  1.3729  1.3729  1.3729  1.3729  1.3729
1997  1.4422  1.4422  1.4422  1.4422  1.4422
1998  1.6093  1.6093  1.6093  1.6093  1.6093
1999  1.7124  1.7124  1.7124  1.7124  1.7124
2000  1.7615  1.7615  1.7615  1.7615  1.7615
2001  1.7671  1.7671  1.7671  1.7671  1.7671
2002  1.8064  1.8064  1.8064  1.8064  1.8064
2003  1.7353  1.7353  1.7353  1.7353  1.7353
2004  1.7435  1.7435  1.7435  1.7435  1.7435
2005  1.7158  1.7158  1.7158  1.7158  1.7158
2006  1.7236  1.7236  1.7236  1.7236  1.7236
2007  1.7220  1.7220  1.7220  1.7220  1.7220
2008  1.7626  1.7626  1.7626  1.7626  1.7626
2009  1.7679  1.7679  1.7679  1.7679  1.7679
2010  1.8739  1.8739  1.8739  1.8739  1.8739
2011  1.9185  1.9185  1.9185  1.9185  1.9185
2012  2.0060  2.0060  2.0060  2.0060  2.0060
2013  2.0530  2.0530  2.0530  2.0530  2.0530
2014  2.0897  2.0897  2.0897  2.0897  2.0897
2015  2.1340  2.1340  2.1340  2.1340  2.1340
2016  2.0634  2.0621  2.0621  2.0621  2.0621
2017  2.0625  2.0589  2.0589  2.0589  2.0589
2018  2.0633  2.0563  2.0563  2.0563  2.0563
2019  2.0635  2.0520  2.0520  2.0520  2.0520
2020  2.0995  2.0824  2.0824  2.0824  2.0824
2021  2.1863  2.1644  2.1638  2.1627  2.1610
2022  2.2709  2.2449  2.2430  2.2402  2.2355
2023  2.3552  2.3256  2.3218  2.3166  2.3078
2024  2.3754  2.3427  2.3365  2.3282  2.3145
2025  2.3977  2.3623  2.3531  2.3414  2.3219
2026  2.3813  2.3437  2.3310  2.3153  2.2894
2027  2.3652  2.3256  2.3089  2.2888  2.2560
2028  2.3460  2.3047  2.2835  2.2587  2.2186
2029  2.3267  2.2841  2.2579  2.2281  2.1802
2030  1.3491  1.3053  1.2737  1.2385  1.1828
2031  0.7707  0.7260  0.6884  0.6478  0.5839
2032  1.4964  1.4508  1.4069  1.3606  1.2884
2033  2.0275  1.9813  1.9306  1.8783  1.7979
2034  2.2968  2.2501  2.1921  2.1338  2.0450
2035  2.0118  1.9646  1.8988  1.8345  1.7374
2036  1.8621  1.8144  1.7405  1.6701  1.5646
2037  2.2467  2.1987  2.1162  2.0396  1.9260
2038  2.5030  2.4545  2.3630  2.2802  2.1585
2039  2.4775  2.4286  2.3277  2.2387  2.1090
2040  2.4526  2.4031  2.2924  2.1972  2.0598
2041  2.4293  2.3792  2.2583  2.1569  2.0119
2042  2.4405  2.3896  2.2580  2.1506  1.9982
2043  2.5078  2.4559  2.3133  2.1998  2.0404
2044  2.5779  2.5249  2.3709  2.2515  2.0852
2045  2.6464  2.5921  2.4263  2.3011  2.1281
2046  2.6566  2.6007  2.4226  2.2918  2.1125
2047  2.6656  2.6079  2.4171  2.2808  2.0954
2048  2.6404  2.5806  2.3767  2.2352  2.0439
